00014,Благоевград,Хаджидимово,с. Абланица
00028,Ловеч,Ловеч,с. Абланица
00031,Добрич,Крушари,с. Абрит
00045,Сливен,Котел,с. Мокрен
00059,Благоевград,Якоруда,с. Аврамово
00062,Кърджали,Ардино,с. Аврамово
00084,Варна,Аврен,с. Аврен
00093,Кърджали,Крумовград,с. Аврен
00103,Габрово,Севлиево,с. Агатово
00117,Габрово,Трявна,с. Азманите
00120,Кърджали,Кирково,с. Върбен
00134,Благоевград,Благоевград,с. Изгрев
00148,Кърджали,Кърджали,с. Айрово
00151,Бургас,Айтос,гр. Айтос
00165,Пазарджик,Белово,с. Аканджиево
00179,Видин,Видин,с. Акациево
00182,Варна,Аксаково,гр. Аксаково
00196,Смолян,Златоград,с. Аламовци
00206,Кърджали,Джебел,с. Албанци
00215,Търговище,Търговище,с. Алваново
00223,София,Сливница,с. Алдомировци
00237,Велико Търново,Свищов,с. Алеково
00240,Силистра,Алфатар,с. Алеково
00254,Пазарджик,Пазарджик,с. Алеко Константиново
00268,Добрич,Крушари,с. Александрия
00271,Бургас,Поморие,с. Александрово
00285,Велико Търново,Свищов,с. Александрово
00299,Ловеч,Ловеч,с. Александрово
00309,Стара Загора,Павел баня,с. Александрово
00312,Търговище,Търговище,с. Александрово
00326,Хасково,Хасково,с. Александрово
00330,Шумен,Смядово,с. Александрово
00343,Ямбол,Стралджа,с. Александрово
00357,София (столица),Столична,гр. Нови Искър
00360,Добрич,Генерал Тошево,с. Александър Стамболийски
00374,Добрич,Добрич-селска,с. Самуилово
00388,Смолян,Смолян,с. Алиговска
00391,София,Самоков,с. Алино
00401,Враца,Бяла Слатина,с. Алтимир
00415,Силистра,Алфатар,гр. Алфатар
00429,Добрич,Добрич-селска,с. Алцек
00432,Добрич,Тервел,с. Ангеларий
00446,Хасково,Минерални бани,с. Ангел войвода
00456,Габрово,Габрово,с. Ангелов
00480,Пловдив,Сопот,с. Анево
00494,Силистра,Тутракан,с. Антимово
00504,София,Антон,с. Антон
00518,Търговище,Антоново,гр. Антоново
00521,Велико Търново,Елена,с. Аплаци
00549,София,Горна Малина,с. Априлово
00552,Стара Загора,Гълъбово,с. Априлово
00566,Търговище,Попово,с. Априлово
00571,Пазарджик,Пазарджик,с. Априлци
00583,Велико Търново,Велико Търново,с. Арбанаси
00597,Смолян,Смолян,с. Арда
00607,Кърджали,Ардино,гр. Ардино
00610,Перник,Брезник,с. Арзан
00624,Варна,Дългопол,с. Арковна
00638,Габрово,Габрово,с. Армените
00641,Габрово,Трявна,с. Армянковци
00655,Стара Загора,Стара Загора,с. Арнаутито
00669,Смолян,Мадан,с. Арпаджик
00672,Видин,Димово,с. Арчар
00697,Стара Загора,Павел баня,с. Асен
00702,Пловдив,Асеновград,гр. Асеновград
00713,Сливен,Нова Загора,с. Асеновец
00730,Велико Търново,Стражица,с. Асеново
00744,Плевен,Никопол,с. Асеново
00758,Ямбол,Тунджа,с. Асеново
00761,Плевен,Левски,с. Асеновци
00775,Бургас,Карнобат,с. Аспарухово
00789,Варна,Дългопол,с. Аспарухово
00792,Монтана,Медковец,с. Аспарухово
00802,Плевен,Левски,с. Аспарухово
00816,Ямбол,Стралджа,с. Атолово
00828,Кърджали,Момчилград,с. Ауста
00833,Бургас,Поморие,гр. Ахелой
00847,Пловдив,Садово,с. Ахматово
00850,Смолян,Баните,с. Гълъбово
00864,Кърджали,Ардино,с. Ахрянско
00878,Бургас,Царево,гр. Ахтопол
00881,Пазарджик,Велинград,с. Абланица
00895,Силистра,Силистра,с. Айдемир
00905,Кърджали,Кирково,с. Априлци
00919,Видин,Видин,с. Антимово
02021,Търговище,Попово,с. Баба Тонка
02035,Пловдив,Брезово,с. Бабек
02049,Кюстендил,Бобов дол,с. Бабино
02052,Кюстендил,Бобов дол,с. Бабинска река
02066,Перник,Брезник,с. Бабица
02076,Смолян,Смолян,с. Баблон
02083,Русе,Сливо поле,с. Бабово
02097,Силистра,Силистра,с. Бабук
02107,Благоевград,Белица,с. Бабяк
02110,Велико Търново,Елена,с. Багалевци
02124,Кърджали,Кърджали,с. Багра
02138,Кюстендил,Кюстендил,с. Багренци
02141,Кърджали,Крумовград,с. Багрилци
02155,Кърджали,Момчилград,с. Багрянка
02169,Велико Търново,Елена,с. Бадевци
02172,Кюстендил,Бобошево,с. Бадино
02191,Велико Търново,Елена,с. Баевци
02207,Габрово,Габрово,с. Баевци
02213,Велико Търново,Елена,с. Баждари
02227,Плевен,Долна Митрополия,с. Байкал
02230,Перник,Радомир,с. Байкалско
02244,Шумен,Хитрино,с. Байково
02258,София,Горна Малина,с. Байлово
02261,Кърджали,Черноочене,с. Бакалите
02289,София,Своге,с. Бакьово
02292,Кърджали,Момчилград,с. Балабаново
02302,Ловеч,Троян,с. Балабанско
02333,Габрово,Дряново,с. Балалея
02347,Габрово,Габрово,с. Баланите
02350,Кюстендил,Дупница,с. Баланово
02364,Велико Търново,Велико Търново,с. Балван
02378,Габрово,Дряново,с. Балванците
02381,Благоевград,Гърмен,с. Балдево
02395,Видин,Брегово,с. Балей
02405,Добрич,Тервел,с. Балик
02419,Габрово,Габрово,с. Балиновци
02436,Хасково,Стамболово,с. Балкан
02448,Ловеч,Троян,с. Балканец
02453,Пловдив,Лъки,с. Балкан махала
